name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
The Weight - Remastered,The Band,0.63,0.519,9,-10.997,1,0.0528,0.225,4.3e-06,0.0974,0.502,143.942,audio_features,,0sDqo9UPzPUtu9wEkI3zRB,spotify:track:0sDqo9UPzPUtu9wEkI3zRB,https://api.spotify.com/v1/tracks/0sDqo9UPzPUtu9wEkI3zRB,https://api.spotify.com/v1/audio-analysis/0sDqo9UPzPUtu9wEkI3zRB,278627,4,rock
Bring It On Home to Me,Sam Cooke,0.523,0.402,0,-8.233,1,0.0305,0.778,0,0.432,0.675,70.863,audio_features,,0WVTQp3SOCuMr08jh1jweV,spotify:track:0WVTQp3SOCuMr08jh1jweV,https://api.spotify.com/v1/tracks/0WVTQp3SOCuMr08jh1jweV,https://api.spotify.com/v1/audio-analysis/0WVTQp3SOCuMr08jh1jweV,162533,4,rock
Bad Moon Rising,Creedence Clearwater Revival,0.641,0.774,2,-5.916,1,0.0278,0.0543,1.05e-05,0.0473,0.942,89.787,audio_features,,66FSV5dLK5sNLZ00IfHxfD,spotify:track:66FSV5dLK5sNLZ00IfHxfD,https://api.spotify.com/v1/tracks/66FSV5dLK5sNLZ00IfHxfD,https://api.spotify.com/v1/audio-analysis/66FSV5dLK5sNLZ00IfHxfD,141600,4,rock
Crying,Roy Orbison,0.35,0.293,2,-9.502,1,0.0258,0.758,8.21e-06,0.104,0.162,96.685,audio_features,,6eLL7QTdMWdhhG4i3jHDR9,spotify:track:6eLL7QTdMWdhhG4i3jHDR9,https://api.spotify.com/v1/tracks/6eLL7QTdMWdhhG4i3jHDR9,https://api.spotify.com/v1/audio-analysis/6eLL7QTdMWdhhG4i3jHDR9,166467,4,rock
Revolution - Remastered 2009,The Beatles,0.407,0.834,6,-9.224,1,0.208,0.0734,0.00021,0.241,0.71,121.38,audio_features,,3UDmHZcBTQp8Iu8droNtUl,spotify:track:3UDmHZcBTQp8Iu8droNtUl,https://api.spotify.com/v1/tracks/3UDmHZcBTQp8Iu8droNtUl,https://api.spotify.com/v1/audio-analysis/3UDmHZcBTQp8Iu8droNtUl,205293,4,rock
Shop Around,The Miracles,0.552,0.7,7,-4.533,1,0.0295,0.809,0,0.805,0.901,132.005,audio_features,,47IRIQxGDe2Sc6F4pe2FMf,spotify:track:47IRIQxGDe2Sc6F4pe2FMf,https://api.spotify.com/v1/tracks/47IRIQxGDe2Sc6F4pe2FMf,https://api.spotify.com/v1/audio-analysis/47IRIQxGDe2Sc6F4pe2FMf,170760,4,rock
I Fought the Law - Single Version,The Bobby Fuller Four,0.593,0.804,7,-5.497,1,0.0319,0.105,2.22e-06,0.047,0.962,148.959,audio_features,,6Um3XCAxl9YfFmAnGl93xc,spotify:track:6Um3XCAxl9YfFmAnGl93xc,https://api.spotify.com/v1/tracks/6Um3XCAxl9YfFmAnGl93xc,https://api.spotify.com/v1/audio-analysis/6Um3XCAxl9YfFmAnGl93xc,138360,4,rock
The Times They Are A-Changin',Bob Dylan,0.389,0.396,7,-7.999,1,0.0332,0.887,0,0.0828,0.585,171.86,audio_features,,52vA3CYKZqZVdQnzRrdZt6,spotify:track:52vA3CYKZqZVdQnzRrdZt6,https://api.spotify.com/v1/tracks/52vA3CYKZqZVdQnzRrdZt6,https://api.spotify.com/v1/audio-analysis/52vA3CYKZqZVdQnzRrdZt6,192053,3,rock
Honky Tonk Women - Mono Version,The Rolling Stones,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602,audio_features,,3RZMzCvYsmJ0u2ioKTOsmJ,spotify:track:3RZMzCvYsmJ0u2ioKTOsmJ,https://api.spotify.com/v1/tracks/3RZMzCvYsmJ0u2ioKTOsmJ,https://api.spotify.com/v1/audio-analysis/3RZMzCvYsmJ0u2ioKTOsmJ,179387,4,rock
The End - 2017 Remaster,The Doors,0.351,0.228,0,-17.271,1,0.0307,0.285,0.00116,0.123,0.0329,104.551,audio_features,,4KGMuqdT1XEzzOJDJFXu7T,spotify:track:4KGMuqdT1XEzzOJDJFXu7T,https://api.spotify.com/v1/tracks/4KGMuqdT1XEzzOJDJFXu7T,https://api.spotify.com/v1/audio-analysis/4KGMuqdT1XEzzOJDJFXu7T,710827,4,rock
She Loves You - Mono / Remastered,The Beatles,0.377,0.916,4,-3.199,0,0.0481,0.26,0,0.074,0.912,75.533,audio_features,,6nEkxYIEnrbYH7h1hJ8Xn6,spotify:track:6nEkxYIEnrbYH7h1hJ8Xn6,https://api.spotify.com/v1/tracks/6nEkxYIEnrbYH7h1hJ8Xn6,https://api.spotify.com/v1/audio-analysis/6nEkxYIEnrbYH7h1hJ8Xn6,140920,4,rock
Heartbreaker - 1990 Remaster,Led Zeppelin,0.403,0.709,9,-9.366,1,0.0885,0.0746,0.494,0.132,0.654,97.161,audio_features,,6WE7jSshLCuVKoCmobVKVf,spotify:track:6WE7jSshLCuVKoCmobVKVf,https://api.spotify.com/v1/tracks/6WE7jSshLCuVKoCmobVKVf,https://api.spotify.com/v1/audio-analysis/6WE7jSshLCuVKoCmobVKVf,254133,4,rock
Brown Eyed Girl,Van Morrison,0.491,0.583,7,-10.964,1,0.0376,0.182,0,0.407,0.907,150.572,audio_features,,3yrSvpt2l1xhsV9Em88Pul,spotify:track:3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/tracks/3yrSvpt2l1xhsV9Em88Pul,https://api.spotify.com/v1/audio-analysis/3yrSvpt2l1xhsV9Em88Pul,183307,4,rock
Gimme Shelter,The Rolling Stones,0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,audio_features,,6H3kDe7CGoWYBabAeVWGiD,spotify:track:6H3kDe7CGoWYBabAeVWGiD,https://api.spotify.com/v1/tracks/6H3kDe7CGoWYBabAeVWGiD,https://api.spotify.com/v1/audio-analysis/6H3kDe7CGoWYBabAeVWGiD,270773,4,rock
Touch Me,The Doors,0.425,0.903,1,-4.801,1,0.0732,0.405,0.0128,0.117,0.769,108.748,audio_features,,4BVE5tIIpYabZcYCbephNW,spotify:track:4BVE5tIIpYabZcYCbephNW,https://api.spotify.com/v1/tracks/4BVE5tIIpYabZcYCbephNW,https://api.spotify.com/v1/audio-analysis/4BVE5tIIpYabZcYCbephNW,190253,4,rock
Surf City - Remastered 1990/Stereo Remix,Jan & Dean,0.469,0.647,8,-13.913,1,0.0315,0.595,1.65e-06,0.339,0.942,147.878,audio_features,,4ZzXPeOfMXk0iKNQGdlzDq,spotify:track:4ZzXPeOfMXk0iKNQGdlzDq,https://api.spotify.com/v1/tracks/4ZzXPeOfMXk0iKNQGdlzDq,https://api.spotify.com/v1/audio-analysis/4ZzXPeOfMXk0iKNQGdlzDq,163027,4,rock
White Rabbit,Jefferson Airplane,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,audio_features,,4vpeKl0vMGdAXpZiQB2Dtd,spotify:track:4vpeKl0vMGdAXpZiQB2Dtd,https://api.spotify.com/v1/tracks/4vpeKl0vMGdAXpZiQB2Dtd,https://api.spotify.com/v1/audio-analysis/4vpeKl0vMGdAXpZiQB2Dtd,150640,4,rock
Green River,Creedence Clearwater Revival,0.704,0.773,9,-9.621,1,0.0279,0.0356,0.00498,0.082,0.972,141.655,audio_features,,1ckVrHITCk9BMhyRcsnblh,spotify:track:1ckVrHITCk9BMhyRcsnblh,https://api.spotify.com/v1/tracks/1ckVrHITCk9BMhyRcsnblh,https://api.spotify.com/v1/audio-analysis/1ckVrHITCk9BMhyRcsnblh,154120,4,rock
I Get Around (Mono),The Beach Boys,0.39,0.625,9,-7.813,0,0.0537,0.36,0,0.0663,0.514,144.338,audio_features,,3v9xlH6BpmRbqL7hgNJhfT,spotify:track:3v9xlH6BpmRbqL7hgNJhfT,https://api.spotify.com/v1/tracks/3v9xlH6BpmRbqL7hgNJhfT,https://api.spotify.com/v1/audio-analysis/3v9xlH6BpmRbqL7hgNJhfT,134387,4,rock
Mr. Tambourine Man,The Byrds,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,audio_features,,2HCaIYjkvWSZzaSKUoOh3d,spotify:track:2HCaIYjkvWSZzaSKUoOh3d,https://api.spotify.com/v1/tracks/2HCaIYjkvWSZzaSKUoOh3d,https://api.spotify.com/v1/audio-analysis/2HCaIYjkvWSZzaSKUoOh3d,149467,4,rock
With A Little Help From My Friends - Remastered 2009,The Beatles,0.705,0.515,4,-9.343,1,0.0337,0.365,0,0.389,0.803,112.035,audio_features,,2RnPATK99oGOZygnD2GTO6,spotify:track:2RnPATK99oGOZygnD2GTO6,https://api.spotify.com/v1/tracks/2RnPATK99oGOZygnD2GTO6,https://api.spotify.com/v1/audio-analysis/2RnPATK99oGOZygnD2GTO6,164107,4,rock
Hush - 2014 Remaster,Deep Purple,0.585,0.676,5,-11.267,1,0.0471,0.0176,0.732,0.129,0.474,109.309,audio_features,,3BaFLw5Tgx42RbedE9gd06,spotify:track:3BaFLw5Tgx42RbedE9gd06,https://api.spotify.com/v1/tracks/3BaFLw5Tgx42RbedE9gd06,https://api.spotify.com/v1/audio-analysis/3BaFLw5Tgx42RbedE9gd06,252040,4,rock
For Your Love,The Yardbirds,0.338,0.668,2,-8.641,1,0.0421,0.387,1.59e-05,0.111,0.561,127.097,audio_features,,7A8oXvjcFnGCmzbswJ0MKu,spotify:track:7A8oXvjcFnGCmzbswJ0MKu,https://api.spotify.com/v1/tracks/7A8oXvjcFnGCmzbswJ0MKu,https://api.spotify.com/v1/audio-analysis/7A8oXvjcFnGCmzbswJ0MKu,149733,5,rock
Street Fighting Man,The Rolling Stones,0.57,0.754,0,-9.948,1,0.031,0.0154,0.0133,0.184,0.708,127.957,audio_features,,09t1lDivsjZffcTC7rNa2m,spotify:track:09t1lDivsjZffcTC7rNa2m,https://api.spotify.com/v1/tracks/09t1lDivsjZffcTC7rNa2m,https://api.spotify.com/v1/audio-analysis/09t1lDivsjZffcTC7rNa2m,194733,4,rock
Blowin' in the Wind,Bob Dylan,0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,audio_features,,18GiV1BaXzPVYpp9rmOg0E,spotify:track:18GiV1BaXzPVYpp9rmOg0E,https://api.spotify.com/v1/tracks/18GiV1BaXzPVYpp9rmOg0E,https://api.spotify.com/v1/audio-analysis/18GiV1BaXzPVYpp9rmOg0E,165427,4,rock
In My Room - Remastered,The Beach Boys,0.341,0.416,11,-9.574,1,0.0265,0.184,6.28e-05,0.0917,0.499,102.886,audio_features,,62fX8EW16l8St2yL8rMer9,spotify:track:62fX8EW16l8St2yL8rMer9,https://api.spotify.com/v1/tracks/62fX8EW16l8St2yL8rMer9,https://api.spotify.com/v1/audio-analysis/62fX8EW16l8St2yL8rMer9,134133,3,rock
I'm A Man,The Spencer Davis Group,0.55,0.929,9,-5.765,1,0.0815,0.038,0,0.135,0.643,129.011,audio_features,,5zWehIgPMCGysidrvbltlU,spotify:track:5zWehIgPMCGysidrvbltlU,https://api.spotify.com/v1/tracks/5zWehIgPMCGysidrvbltlU,https://api.spotify.com/v1/audio-analysis/5zWehIgPMCGysidrvbltlU,176160,4,rock
Gloria - Stereo Version,Them,0.646,0.813,9,-6.733,1,0.0434,0.528,0.00786,0.178,0.711,129.378,audio_features,,5wfbkDVnNgPG4asSYvtMIC,spotify:track:5wfbkDVnNgPG4asSYvtMIC,https://api.spotify.com/v1/tracks/5wfbkDVnNgPG4asSYvtMIC,https://api.spotify.com/v1/audio-analysis/5wfbkDVnNgPG4asSYvtMIC,156107,4,rock
Itchycoo Park,Small Faces,0.603,0.596,9,-8.029,1,0.0728,0.395,2.31e-06,0.451,0.502,128.129,audio_features,,0fYgtNCNCjFDeJWTIMukNU,spotify:track:0fYgtNCNCjFDeJWTIMukNU,https://api.spotify.com/v1/tracks/0fYgtNCNCjFDeJWTIMukNU,https://api.spotify.com/v1/audio-analysis/0fYgtNCNCjFDeJWTIMukNU,172747,4,rock
Wild Thing,The Troggs,0.421,0.664,11,-10.657,0,0.0665,0.721,0.00244,0.0851,0.574,201.583,audio_features,,2cM6hAcaR3zsh2oYYV2MWU,spotify:track:2cM6hAcaR3zsh2oYYV2MWU,https://api.spotify.com/v1/tracks/2cM6hAcaR3zsh2oYYV2MWU,https://api.spotify.com/v1/audio-analysis/2cM6hAcaR3zsh2oYYV2MWU,158250,4,rock
Care Of Cell 44,The Zombies,0.421,0.58,7,-7.011,1,0.0285,0.265,0.0136,0.0973,0.403,129.959,audio_features,,5QXqz1KDz8Z8DmfQoxWmmy,spotify:track:5QXqz1KDz8Z8DmfQoxWmmy,https://api.spotify.com/v1/tracks/5QXqz1KDz8Z8DmfQoxWmmy,https://api.spotify.com/v1/audio-analysis/5QXqz1KDz8Z8DmfQoxWmmy,235827,4,rock
See Emily Play - 2016 Remastered Version,Pink Floyd,0.438,0.754,2,-7.035,1,0.0381,0.211,0,0.124,0.435,123.744,audio_features,,1jlcpwrEnd7IKDz69M5jGk,spotify:track:1jlcpwrEnd7IKDz69M5jGk,https://api.spotify.com/v1/tracks/1jlcpwrEnd7IKDz69M5jGk,https://api.spotify.com/v1/audio-analysis/1jlcpwrEnd7IKDz69M5jGk,174573,4,rock
Alone Again Or - 2015 Remaster,Love,0.318,0.303,11,-15.572,0,0.0302,0.664,0.000223,0.113,0.226,174.254,audio_features,,1XuccRABkfUVB4FjSVhjL1,spotify:track:1XuccRABkfUVB4FjSVhjL1,https://api.spotify.com/v1/tracks/1XuccRABkfUVB4FjSVhjL1,https://api.spotify.com/v1/audio-analysis/1XuccRABkfUVB4FjSVhjL1,197275,4,rock
