name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
Who Is He (And What Is He to You)?,Bill Withers,0.921,0.313,1,-12.543,0,0.0368,0.105,0.00117,0.0817,0.957,99.3,audio_features,,1KywyxekfDEp3Ym7YP7S25,spotify:track:1KywyxekfDEp3Ym7YP7S25,https://api.spotify.com/v1/tracks/1KywyxekfDEp3Ym7YP7S25,https://api.spotify.com/v1/audio-analysis/1KywyxekfDEp3Ym7YP7S25,194428,4,soul
Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,0.789,0.683,8,-8.835,1,0.086,0.48,0,0.35,0.882,92.311,audio_features,,4pW3aTX3kAmOaPJfc9UM12,spotify:track:4pW3aTX3kAmOaPJfc9UM12,https://api.spotify.com/v1/tracks/4pW3aTX3kAmOaPJfc9UM12,https://api.spotify.com/v1/audio-analysis/4pW3aTX3kAmOaPJfc9UM12,233613,4,soul
Pick up the Pieces,Average White Band,0.77,0.858,10,-7.086,0,0.0492,0.0106,0.685,0.0298,0.76,109.883,audio_features,,2H5nsVLjDwWsxfyajm0lVS,spotify:track:2H5nsVLjDwWsxfyajm0lVS,https://api.spotify.com/v1/tracks/2H5nsVLjDwWsxfyajm0lVS,https://api.spotify.com/v1/audio-analysis/2H5nsVLjDwWsxfyajm0lVS,234587,4,soul
Brothers On The Slide,Cymande,0.789,0.602,7,-10.192,0,0.198,0.3,0.00549,0.0737,0.804,109.923,audio_features,,6cBhKpoE1GNqEtwqGScyBy,spotify:track:6cBhKpoE1GNqEtwqGScyBy,https://api.spotify.com/v1/tracks/6cBhKpoE1GNqEtwqGScyBy,https://api.spotify.com/v1/audio-analysis/6cBhKpoE1GNqEtwqGScyBy,251400,4,soul
All Night Long (All Night) - Single Version,Lionel Richie,0.748,0.603,1,-12.044,1,0.043,0.15,0.000261,0.0269,0.827,108.831,audio_features,,4czNORk5MjW5WOn98bki32,spotify:track:4czNORk5MjW5WOn98bki32,https://api.spotify.com/v1/tracks/4czNORk5MjW5WOn98bki32,https://api.spotify.com/v1/audio-analysis/4czNORk5MjW5WOn98bki32,258667,4,soul
Superfly,Curtis Mayfield,0.784,0.708,2,-9.141,1,0.11,0.457,7.50E-05,0.0913,0.748,120.11,audio_features,,4XsH9zBWPOCdXoH9ZDdS8r,spotify:track:4XsH9zBWPOCdXoH9ZDdS8r,https://api.spotify.com/v1/tracks/4XsH9zBWPOCdXoH9ZDdS8r,https://api.spotify.com/v1/audio-analysis/4XsH9zBWPOCdXoH9ZDdS8r,233600,4,soul
Strawberry Letter 23,The Brothers Johnson,0.73,0.622,7,-11.7,0,0.0532,0.269,0.00874,0.111,0.752,90.973,audio_features,,00kvKlIvfzQLSi6T2zwXuS,spotify:track:00kvKlIvfzQLSi6T2zwXuS,https://api.spotify.com/v1/tracks/00kvKlIvfzQLSi6T2zwXuS,https://api.spotify.com/v1/audio-analysis/00kvKlIvfzQLSi6T2zwXuS,299067,4,soul
Family Affair - Single Version,Sly & The Family Stone,0.819,0.605,2,-13.83,0,0.132,0.669,0.0163,0.199,0.797,108.892,audio_features,,4f3u4Oy0JqJRIhMmTqRcxj,spotify:track:4f3u4Oy0JqJRIhMmTqRcxj,https://api.spotify.com/v1/tracks/4f3u4Oy0JqJRIhMmTqRcxj,https://api.spotify.com/v1/audio-analysis/4f3u4Oy0JqJRIhMmTqRcxj,185533,4,soul
Time Is Tight,Booker T. & the M.G.'s,0.778,0.524,9,-11.775,0,0.0424,0.0808,0.9,0.108,0.96,134.561,audio_features,,2Bfk3vFoMmbAUqpJbA3N06,spotify:track:2Bfk3vFoMmbAUqpJbA3N06,https://api.spotify.com/v1/tracks/2Bfk3vFoMmbAUqpJbA3N06,https://api.spotify.com/v1/audio-analysis/2Bfk3vFoMmbAUqpJbA3N06,194920,4,soul
Grandma's Hands,Bill Withers,0.731,0.312,4,-14.939,0,0.0878,0.593,1.69E-06,0.111,0.578,82.366,audio_features,,1qfDfZAvrkSAFrAR2FTQDv,spotify:track:1qfDfZAvrkSAFrAR2FTQDv,https://api.spotify.com/v1/tracks/1qfDfZAvrkSAFrAR2FTQDv,https://api.spotify.com/v1/audio-analysis/1qfDfZAvrkSAFrAR2FTQDv,121080,4,soul
How Do I Let a Good Man Down?,Sharon Jones & The Dap-Kings,0.656,0.964,7,-3.862,1,0.0552,0.219,0.324,0.0805,0.871,123.137,audio_features,,7lWv5nVZoX3Dkk2KnZS2jV,spotify:track:7lWv5nVZoX3Dkk2KnZS2jV,https://api.spotify.com/v1/tracks/7lWv5nVZoX3Dkk2KnZS2jV,https://api.spotify.com/v1/audio-analysis/7lWv5nVZoX3Dkk2KnZS2jV,182827,4,soul
Soul Man,Sam & Dave,0.79,0.41,0,-13.241,1,0.0343,0.263,0.00314,0.174,0.815,112.345,audio_features,,4eGHlplaq1ME8oetnTuFFf,spotify:track:4eGHlplaq1ME8oetnTuFFf,https://api.spotify.com/v1/tracks/4eGHlplaq1ME8oetnTuFFf,https://api.spotify.com/v1/audio-analysis/4eGHlplaq1ME8oetnTuFFf,159000,4,soul
Ruler of My Heart,Irma Thomas,0.38,0.16,11,-17.717,1,0.0332,0.704,0,0.0933,0.27,179.284,audio_features,,6xiiZYr0zysI7wbEQlbpei,spotify:track:6xiiZYr0zysI7wbEQlbpei,https://api.spotify.com/v1/tracks/6xiiZYr0zysI7wbEQlbpei,https://api.spotify.com/v1/audio-analysis/6xiiZYr0zysI7wbEQlbpei,155067,3,soul
Soup for One,CHIC,0.823,0.51,0,-11.235,1,0.0352,0.212,0.806,0.11,0.798,114.83,audio_features,,2Rr4ZOnKXUrzjhMPkmkRjK,spotify:track:2Rr4ZOnKXUrzjhMPkmkRjK,https://api.spotify.com/v1/tracks/2Rr4ZOnKXUrzjhMPkmkRjK,https://api.spotify.com/v1/audio-analysis/2Rr4ZOnKXUrzjhMPkmkRjK,335067,4,soul
