name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
It's Called: Freefall,Rainbow Kitten Surprise,0.744,0.516,2,-6.365,1,0.0513,0.632,0,0.605,0.281,97.944,audio_features,,474uVhyGgK5MtY9gMcDgGl,spotify:track:474uVhyGgK5MtY9gMcDgGl,https://api.spotify.com/v1/tracks/474uVhyGgK5MtY9gMcDgGl,https://api.spotify.com/v1/audio-analysis/474uVhyGgK5MtY9gMcDgGl,152293,4,liked
Crush,Tessa Violet,0.912,0.401,1,-9.536,1,0.0856,0.03,0.000141,0.08,0.82,135.995,audio_features,,47hDuWmh0PU9AARzs5vflv,spotify:track:47hDuWmh0PU9AARzs5vflv,https://api.spotify.com/v1/tracks/47hDuWmh0PU9AARzs5vflv,https://api.spotify.com/v1/audio-analysis/47hDuWmh0PU9AARzs5vflv,215832,4,liked
Bad Ideas,Tessa Violet,0.786,0.52,0,-7.554,0,0.281,0.602,0.00105,0.1,0.378,80.046,audio_features,,5mDoCVaqHmpqDyj28v666H,spotify:track:5mDoCVaqHmpqDyj28v666H,https://api.spotify.com/v1/tracks/5mDoCVaqHmpqDyj28v666H,https://api.spotify.com/v1/audio-analysis/5mDoCVaqHmpqDyj28v666H,179497,4,liked
Haze,Tessa Violet,0.783,0.503,2,-9.119,0,0.0656,0.0482,0.00102,0.116,0.435,120.053,audio_features,,0nb8EZAhGSMM66lrhLIsml,spotify:track:0nb8EZAhGSMM66lrhLIsml,https://api.spotify.com/v1/tracks/0nb8EZAhGSMM66lrhLIsml,https://api.spotify.com/v1/audio-analysis/0nb8EZAhGSMM66lrhLIsml,226440,4,liked
Crush,Tessa Violet,0.912,0.401,1,-9.536,1,0.0856,0.03,0.000141,0.08,0.82,135.995,audio_features,,47hDuWmh0PU9AARzs5vflv,spotify:track:47hDuWmh0PU9AARzs5vflv,https://api.spotify.com/v1/tracks/47hDuWmh0PU9AARzs5vflv,https://api.spotify.com/v1/audio-analysis/47hDuWmh0PU9AARzs5vflv,215832,4,liked
Seashore,The Regrettes,0.532,0.585,7,-4.517,1,0.0556,0.0546,0,0.0588,0.508,132.265,audio_features,,6kQ3W5LMxh6ftjEBssYgAd,spotify:track:6kQ3W5LMxh6ftjEBssYgAd,https://api.spotify.com/v1/tracks/6kQ3W5LMxh6ftjEBssYgAd,https://api.spotify.com/v1/audio-analysis/6kQ3W5LMxh6ftjEBssYgAd,208467,4,liked
Hey Now,The Regrettes,0.243,0.861,0,-2.566,1,0.0513,0.000315,2.77e-06,0.0638,0.737,183.826,audio_features,,41Y5xGsXi5rPot2l2i6Lkr,spotify:track:41Y5xGsXi5rPot2l2i6Lkr,https://api.spotify.com/v1/tracks/41Y5xGsXi5rPot2l2i6Lkr,https://api.spotify.com/v1/audio-analysis/41Y5xGsXi5rPot2l2i6Lkr,209667,4,liked
"You're an Ace, Kid",DEMONDICE,0.547,0.83,10,-5.392,0,0.296,0.433,1.76e-06,0.231,0.873,175.806,audio_features,,0zWCyUslGlKxCmvlbahEJU,spotify:track:0zWCyUslGlKxCmvlbahEJU,https://api.spotify.com/v1/tracks/0zWCyUslGlKxCmvlbahEJU,https://api.spotify.com/v1/audio-analysis/0zWCyUslGlKxCmvlbahEJU,237023,4,liked
Alkatraz,DEMONDICE,0.707,0.973,8,-2.547,1,0.128,0.481,0,0.0773,0.754,125.058,audio_features,,1240iIrz36cDxTopJMi37h,spotify:track:1240iIrz36cDxTopJMi37h,https://api.spotify.com/v1/tracks/1240iIrz36cDxTopJMi37h,https://api.spotify.com/v1/audio-analysis/1240iIrz36cDxTopJMi37h,215272,4,liked
Helpless,The Regrettes,0.496,0.843,9,-3.358,1,0.0537,0.000181,0.00024,0.35,0.703,163.955,audio_features,,7522DukIFj1ApjJ5ntF4od,spotify:track:7522DukIFj1ApjJ5ntF4od,https://api.spotify.com/v1/tracks/7522DukIFj1ApjJ5ntF4od,https://api.spotify.com/v1/audio-analysis/7522DukIFj1ApjJ5ntF4od,195403,4,liked
Wannabe,Tremantis,0.234,0.803,1,-7.242,1,0.0473,0.0184,0.0183,0.162,0.163,88.791,audio_features,,6QlmIKLfITR4ms73Bcra4I,spotify:track:6QlmIKLfITR4ms73Bcra4I,https://api.spotify.com/v1/tracks/6QlmIKLfITR4ms73Bcra4I,https://api.spotify.com/v1/audio-analysis/6QlmIKLfITR4ms73Bcra4I,199875,4,liked
Phobia,Tremantis,0.52,0.91,7,-6.889,1,0.0537,0.00123,0.00589,0.538,0.435,149.82,audio_features,,2yYg6eFs0lwnmv3rjtnqTZ,spotify:track:2yYg6eFs0lwnmv3rjtnqTZ,https://api.spotify.com/v1/tracks/2yYg6eFs0lwnmv3rjtnqTZ,https://api.spotify.com/v1/audio-analysis/2yYg6eFs0lwnmv3rjtnqTZ,168125,3,liked
Long Way Back,Tremantis,0.54,0.516,10,-9.824,1,0.024,0.497,0.11,0.104,0.397,79.975,audio_features,,6nKjQGxmF3SoBDylftwCia,spotify:track:6nKjQGxmF3SoBDylftwCia,https://api.spotify.com/v1/tracks/6nKjQGxmF3SoBDylftwCia,https://api.spotify.com/v1/audio-analysis/6nKjQGxmF3SoBDylftwCia,247500,4,liked
Wet Noodle,Tremantis,0.519,0.885,5,-6.009,1,0.0986,0.443,0.00315,0.0886,0.833,163.314,audio_features,,1xY3c98fxJpq60LgbiaZN1,spotify:track:1xY3c98fxJpq60LgbiaZN1,https://api.spotify.com/v1/tracks/1xY3c98fxJpq60LgbiaZN1,https://api.spotify.com/v1/audio-analysis/1xY3c98fxJpq60LgbiaZN1,154000,3,liked
Jasper,Tremantis,0.734,0.564,9,-9.985,1,0.0284,0.67,0.473,0.0616,0.887,99.96,audio_features,,2zgT4Ult7l9a8pAb02ywhr,spotify:track:2zgT4Ult7l9a8pAb02ywhr,https://api.spotify.com/v1/tracks/2zgT4Ult7l9a8pAb02ywhr,https://api.spotify.com/v1/audio-analysis/2zgT4Ult7l9a8pAb02ywhr,68500,4,liked
High Speed Chase,Tremantis,0.362,0.951,11,-6.47,1,0.106,0.00978,0.000768,0.869,0.256,180.085,audio_features,,6b2perGXFdaJmdGkb6GvG1,spotify:track:6b2perGXFdaJmdGkb6GvG1,https://api.spotify.com/v1/tracks/6b2perGXFdaJmdGkb6GvG1,https://api.spotify.com/v1/audio-analysis/6b2perGXFdaJmdGkb6GvG1,138000,4,liked
Between My Teeth,Orla Gartland,0.829,0.577,9,-5.269,0,0.0637,0.0812,0,0.027,0.601,123.97,audio_features,,7qoFhSKDXCgWeSiwOxOnS6,spotify:track:7qoFhSKDXCgWeSiwOxOnS6,https://api.spotify.com/v1/tracks/7qoFhSKDXCgWeSiwOxOnS6,https://api.spotify.com/v1/audio-analysis/7qoFhSKDXCgWeSiwOxOnS6,196094,4,liked
Anarchy,Egg,0.545,0.086,7,-21.644,1,0.106,0.973,0,0.136,0.602,83.667,audio_features,,7cxcMgTHKSZ25C0q1i50Dk,spotify:track:7cxcMgTHKSZ25C0q1i50Dk,https://api.spotify.com/v1/tracks/7cxcMgTHKSZ25C0q1i50Dk,https://api.spotify.com/v1/audio-analysis/7cxcMgTHKSZ25C0q1i50Dk,167879,4,liked
All Pride Aside with Summer Walker,Shelley FKA DRAM,0.643,0.581,8,-6.783,1,0.0565,0.079,0.000133,0.104,0.474,129.925,audio_features,,5xJqIMx7GZg4Lt1dRims0V,spotify:track:5xJqIMx7GZg4Lt1dRims0V,https://api.spotify.com/v1/tracks/5xJqIMx7GZg4Lt1dRims0V,https://api.spotify.com/v1/audio-analysis/5xJqIMx7GZg4Lt1dRims0V,258418,4,other
Set Him Up (feat. Ari Lennox),Queen Naija,0.762,0.527,1,-7.266,0,0.203,0.206,0.0086,0.0963,0.516,77.493,audio_features,,0FhfNle9FovXRL03awCJbe,spotify:track:0FhfNle9FovXRL03awCJbe,https://api.spotify.com/v1/tracks/0FhfNle9FovXRL03awCJbe,https://api.spotify.com/v1/audio-analysis/0FhfNle9FovXRL03awCJbe,222269,4,other
Come Through (feat. Chris Brown),H.E.R.,0.615,0.422,5,-8.019,0,0.0504,0.604,0,0.112,0.185,135.859,audio_features,,3krZxyBsWEHfEfJegYaWTd,spotify:track:3krZxyBsWEHfEfJegYaWTd,https://api.spotify.com/v1/tracks/3krZxyBsWEHfEfJegYaWTd,https://api.spotify.com/v1/audio-analysis/3krZxyBsWEHfEfJegYaWTd,214094,5,other
For Me,Vedo,0.677,0.523,0,-9.575,0,0.182,0.226,0,0.136,0.797,119.848,audio_features,,2jTovHL9JKMTErPbYtyOLs,spotify:track:2jTovHL9JKMTErPbYtyOLs,https://api.spotify.com/v1/tracks/2jTovHL9JKMTErPbYtyOLs,https://api.spotify.com/v1/audio-analysis/2jTovHL9JKMTErPbYtyOLs,191903,4,other
Twisted Fantasy,Justine Skye,0.783,0.859,10,-5.712,0,0.125,0.412,4.9e-05,0.113,0.538,100.99,audio_features,,23tZbR3A6G52shxX4CQg92,spotify:track:23tZbR3A6G52shxX4CQg92,https://api.spotify.com/v1/tracks/23tZbR3A6G52shxX4CQg92,https://api.spotify.com/v1/audio-analysis/23tZbR3A6G52shxX4CQg92,187923,4,other
In My Corner,ELHAE,0.678,0.47,1,-7.306,1,0.235,0.258,0,0.175,0.272,89.992,audio_features,,0T56FSDWcKwWfXy2MXAzZG,spotify:track:0T56FSDWcKwWfXy2MXAzZG,https://api.spotify.com/v1/tracks/0T56FSDWcKwWfXy2MXAzZG,https://api.spotify.com/v1/audio-analysis/0T56FSDWcKwWfXy2MXAzZG,188235,4,other
Bitch Don't Be Mad,Maeta,0.559,0.593,4,-5.443,0,0.294,0.633,0,0.0463,0.585,70.987,audio_features,,24WhLBcWByvFMrt8NNQ0ax,spotify:track:24WhLBcWByvFMrt8NNQ0ax,https://api.spotify.com/v1/tracks/24WhLBcWByvFMrt8NNQ0ax,https://api.spotify.com/v1/audio-analysis/24WhLBcWByvFMrt8NNQ0ax,185199,4,other
Gone,Jorja Smith,0.54,0.632,6,-8.244,0,0.139,0.352,0.00109,0.109,0.626,136.78,audio_features,,1wFwyUWoNFdr0Fl0QygxZ2,spotify:track:1wFwyUWoNFdr0Fl0QygxZ2,https://api.spotify.com/v1/tracks/1wFwyUWoNFdr0Fl0QygxZ2,https://api.spotify.com/v1/audio-analysis/1wFwyUWoNFdr0Fl0QygxZ2,195275,4,other
Bring it on Home to Me (feat. Charlie Bereal),BJ The Chicago Kid,0.338,0.369,10,-7.082,1,0.0332,0.806,1.36e-06,0.158,0.567,173.761,audio_features,,578ziqCj8ieyz7NLrZ31km,spotify:track:578ziqCj8ieyz7NLrZ31km,https://api.spotify.com/v1/tracks/578ziqCj8ieyz7NLrZ31km,https://api.spotify.com/v1/audio-analysis/578ziqCj8ieyz7NLrZ31km,201600,3,other
Worth It,Amber Mark,0.774,0.698,6,-7.072,0,0.27,0.17,0,0.095,0.337,92.062,audio_features,,7yeAu4xPWoTOGwQlQpgNZA,spotify:track:7yeAu4xPWoTOGwQlQpgNZA,https://api.spotify.com/v1/tracks/7yeAu4xPWoTOGwQlQpgNZA,https://api.spotify.com/v1/audio-analysis/7yeAu4xPWoTOGwQlQpgNZA,258527,4,other
F Love,Luh Kel,0.44,0.667,7,-8.397,1,0.0495,0.52,7.66e-05,0.222,0.276,122.839,audio_features,,0alq9IPCcxriy4LDjayEZA,spotify:track:0alq9IPCcxriy4LDjayEZA,https://api.spotify.com/v1/tracks/0alq9IPCcxriy4LDjayEZA,https://api.spotify.com/v1/audio-analysis/0alq9IPCcxriy4LDjayEZA,144390,4,other
Run,Otis Kane,0.756,0.732,7,-7.713,1,0.0692,0.00845,0.509,0.115,0.505,169.001,audio_features,,4xpuvoBYwMnUlISll0Jpmb,spotify:track:4xpuvoBYwMnUlISll0Jpmb,https://api.spotify.com/v1/tracks/4xpuvoBYwMnUlISll0Jpmb,https://api.spotify.com/v1/audio-analysis/4xpuvoBYwMnUlISll0Jpmb,156270,4,other
Nobody But You,Sonder,0.637,0.299,7,-11.314,1,0.0366,0.742,0,0.359,0.364,83.872,audio_features,,6VFKuuqSbA1GpMEosUgTwQ,spotify:track:6VFKuuqSbA1GpMEosUgTwQ,https://api.spotify.com/v1/tracks/6VFKuuqSbA1GpMEosUgTwQ,https://api.spotify.com/v1/audio-analysis/6VFKuuqSbA1GpMEosUgTwQ,213214,4,other
Boyz II Men,KIRBY,0.606,0.715,2,-4.114,0,0.0762,0.148,0,0.0522,0.436,74.52,audio_features,,5buGEKUWGl3pZYQ9sh3392,spotify:track:5buGEKUWGl3pZYQ9sh3392,https://api.spotify.com/v1/tracks/5buGEKUWGl3pZYQ9sh3392,https://api.spotify.com/v1/audio-analysis/5buGEKUWGl3pZYQ9sh3392,130532,4,other
Phone Dies,Andra Day,0.734,0.679,1,-8.873,1,0.082,0.0774,0.00432,0.177,0.53,113.729,audio_features,,1I00qI4bQZyKSQ5G5AnKcv,spotify:track:1I00qI4bQZyKSQ5G5AnKcv,https://api.spotify.com/v1/tracks/1I00qI4bQZyKSQ5G5AnKcv,https://api.spotify.com/v1/audio-analysis/1I00qI4bQZyKSQ5G5AnKcv,235789,4,other
Hard 4 Me 2 Love You,Sinead Harnett,0.368,0.283,0,-11.232,1,0.0368,0.805,6.36e-05,0.102,0.322,72.556,audio_features,,4YF1ucCHnZHQFxeLxtPLpS,spotify:track:4YF1ucCHnZHQFxeLxtPLpS,https://api.spotify.com/v1/tracks/4YF1ucCHnZHQFxeLxtPLpS,https://api.spotify.com/v1/audio-analysis/4YF1ucCHnZHQFxeLxtPLpS,230693,4,other
Love song,María Isabel,0.544,0.373,11,-12.172,0,0.0885,0.877,0.00107,0.0984,0.329,136.741,audio_features,,12ZIJvwUlRiu8KXomPkihd,spotify:track:12ZIJvwUlRiu8KXomPkihd,https://api.spotify.com/v1/tracks/12ZIJvwUlRiu8KXomPkihd,https://api.spotify.com/v1/audio-analysis/12ZIJvwUlRiu8KXomPkihd,207880,3,other
