name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
If There Was No Traffic in L.A.,Liddy Clark,0.449,0.574,11,-8.289,1,0.034,0.0703,8.12E-05,0.16,0.305,159.641,audio_features,,4L9T7jF4g16QiMT4MViGrD,spotify:track:4L9T7jF4g16QiMT4MViGrD,https://api.spotify.com/v1/tracks/4L9T7jF4g16QiMT4MViGrD,https://api.spotify.com/v1/audio-analysis/4L9T7jF4g16QiMT4MViGrD,187048,4,country
"Hello, You Up",Sean Stemaly,0.507,0.671,9,-5.122,1,0.0298,0.15,0,0.106,0.422,144.103,audio_features,,1cYA668ipkqAbInNuhNXsy,spotify:track:1cYA668ipkqAbInNuhNXsy,https://api.spotify.com/v1/tracks/1cYA668ipkqAbInNuhNXsy,https://api.spotify.com/v1/audio-analysis/1cYA668ipkqAbInNuhNXsy,206654,4,country
She’s My Heaven,Trent Harmon,0.593,0.782,1,-6.229,1,0.0336,0.00315,0.00319,0.151,0.389,128.026,audio_features,,0NifTB14VW3jhRlTaIrpvW,spotify:track:0NifTB14VW3jhRlTaIrpvW,https://api.spotify.com/v1/tracks/0NifTB14VW3jhRlTaIrpvW,https://api.spotify.com/v1/audio-analysis/0NifTB14VW3jhRlTaIrpvW,180951,4,country
I Know a Girl,MaRynn Taylor,0.564,0.786,6,-4.627,1,0.0327,0.186,0,0.196,0.406,107.057,audio_features,,2WtFMqCMT0fyTZOWNEiy5w,spotify:track:2WtFMqCMT0fyTZOWNEiy5w,https://api.spotify.com/v1/tracks/2WtFMqCMT0fyTZOWNEiy5w,https://api.spotify.com/v1/audio-analysis/2WtFMqCMT0fyTZOWNEiy5w,196680,4,country
Table For One Drinking For Two,Dani Taylor,0.476,0.762,5,-3.85,1,0.0337,0.056,0,0.147,0.339,168.282,audio_features,,6Qi5Bc5qDoYt7P9H2lTTiR,spotify:track:6Qi5Bc5qDoYt7P9H2lTTiR,https://api.spotify.com/v1/tracks/6Qi5Bc5qDoYt7P9H2lTTiR,https://api.spotify.com/v1/audio-analysis/6Qi5Bc5qDoYt7P9H2lTTiR,177857,4,country
You Got Away With It,Brett Young,0.663,0.813,4,-4.859,1,0.0462,0.0507,0,0.175,0.959,79.006,audio_features,,62hlp3mhmWVcloJgkhZi5F,spotify:track:62hlp3mhmWVcloJgkhZi5F,https://api.spotify.com/v1/tracks/62hlp3mhmWVcloJgkhZi5F,https://api.spotify.com/v1/audio-analysis/62hlp3mhmWVcloJgkhZi5F,181769,4,country
Miles (feat. BRELAND),Tiera,0.556,0.717,8,-5.131,1,0.0364,0.199,0,0.0796,0.577,89.894,audio_features,,4wdgg5hbea29X8J32o53Nr,spotify:track:4wdgg5hbea29X8J32o53Nr,https://api.spotify.com/v1/tracks/4wdgg5hbea29X8J32o53Nr,https://api.spotify.com/v1/audio-analysis/4wdgg5hbea29X8J32o53Nr,191180,4,country
Get Em Up,Tim Montana,0.508,0.913,7,-3.007,1,0.0342,0.0121,0,0.083,0.651,160.09,audio_features,,1OIYUmQ5ct5qonhz5CxXqe,spotify:track:1OIYUmQ5ct5qonhz5CxXqe,https://api.spotify.com/v1/tracks/1OIYUmQ5ct5qonhz5CxXqe,https://api.spotify.com/v1/audio-analysis/1OIYUmQ5ct5qonhz5CxXqe,185147,4,country
Cross Country,BRELAND,0.675,0.444,2,-7.179,1,0.0286,0.82,0,0.0969,0.293,117.903,audio_features,,2YgwcrRc33vIWgv5n2TNZ9,spotify:track:2YgwcrRc33vIWgv5n2TNZ9,https://api.spotify.com/v1/tracks/2YgwcrRc33vIWgv5n2TNZ9,https://api.spotify.com/v1/audio-analysis/2YgwcrRc33vIWgv5n2TNZ9,206949,4,country
Kissing Me Back,Jeb Gipson,0.58,0.767,0,-6.846,1,0.0365,0.0942,0,0.0949,0.546,146.038,audio_features,,3kRbY79nLHyZQJIghjZO6w,spotify:track:3kRbY79nLHyZQJIghjZO6w,https://api.spotify.com/v1/tracks/3kRbY79nLHyZQJIghjZO6w,https://api.spotify.com/v1/audio-analysis/3kRbY79nLHyZQJIghjZO6w,179215,4,country
