name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,audio_features,id,uri,track_href,analysis_url,duration_ms,time_signature,target
Righteous,Protoje,0.694,0.732,0,-5.362,1,0.135,0.0678,0,0.0583,0.519,179.966,audio_features,,4yrNzSh3l1lh7YV50rNymS,spotify:track:4yrNzSh3l1lh7YV50rNymS,https://api.spotify.com/v1/tracks/4yrNzSh3l1lh7YV50rNymS,https://api.spotify.com/v1/audio-analysis/4yrNzSh3l1lh7YV50rNymS,240053,4,reggae
Radio,Jaz Elise,0.527,0.53,11,-7.548,0,0.247,0.513,0,0.217,0.486,82.258,audio_features,,3dRjsMrxyqUbN5bfyLGbOS,spotify:track:3dRjsMrxyqUbN5bfyLGbOS,https://api.spotify.com/v1/tracks/3dRjsMrxyqUbN5bfyLGbOS,https://api.spotify.com/v1/audio-analysis/3dRjsMrxyqUbN5bfyLGbOS,180067,4,reggae
Safe N Sound,Chronixx,0.462,0.744,11,-6.022,0,0.209,0.267,0,0.161,0.549,86.059,audio_features,,0wLcHCDYmsKURWg1dGZUie,spotify:track:0wLcHCDYmsKURWg1dGZUie,https://api.spotify.com/v1/tracks/0wLcHCDYmsKURWg1dGZUie,https://api.spotify.com/v1/audio-analysis/0wLcHCDYmsKURWg1dGZUie,186565,4,reggae
Believe,Kabaka Pyramid,0.587,0.746,8,-5.271,1,0.335,0.487,0,0.113,0.64,91.772,audio_features,,4lelv8PEcOEpSxZGsYZWil,spotify:track:4lelv8PEcOEpSxZGsYZWil,https://api.spotify.com/v1/tracks/4lelv8PEcOEpSxZGsYZWil,https://api.spotify.com/v1/audio-analysis/4lelv8PEcOEpSxZGsYZWil,158784,4,reggae
Good Good,Tanya Stephens,0.63,0.809,9,-4.841,1,0.279,0.133,0,0.206,0.73,89.795,audio_features,,2AgxNfN57Dzc69VbFwlUJ6,spotify:track:2AgxNfN57Dzc69VbFwlUJ6,https://api.spotify.com/v1/tracks/2AgxNfN57Dzc69VbFwlUJ6,https://api.spotify.com/v1/audio-analysis/2AgxNfN57Dzc69VbFwlUJ6,236000,4,reggae
Higher Place,Skip Marley,0.592,0.53,0,-7.619,1,0.126,0.719,0,0.163,0.325,124.832,audio_features,,6jQB97LaIftgb81KhkisXl,spotify:track:6jQB97LaIftgb81KhkisXl,https://api.spotify.com/v1/tracks/6jQB97LaIftgb81KhkisXl,https://api.spotify.com/v1/audio-analysis/6jQB97LaIftgb81KhkisXl,203078,4,reggae
Pressure (feat. Buju Banton) - Remix,Koffee,0.567,0.765,5,-3.172,0,0.262,0.176,0,0.0666,0.565,75.656,audio_features,,3mjsWpaYzIWJQcYgO7VtUA,spotify:track:3mjsWpaYzIWJQcYgO7VtUA,https://api.spotify.com/v1/tracks/3mjsWpaYzIWJQcYgO7VtUA,https://api.spotify.com/v1/audio-analysis/3mjsWpaYzIWJQcYgO7VtUA,238576,4,reggae
Patra,Navy,0.554,0.436,1,-8.853,0,0.139,0.6,1.18e-05,0.11,0.76,82.651,audio_features,,5dSVsizLbphK8OAJeMexof,spotify:track:5dSVsizLbphK8OAJeMexof,https://api.spotify.com/v1/tracks/5dSVsizLbphK8OAJeMexof,https://api.spotify.com/v1/audio-analysis/5dSVsizLbphK8OAJeMexof,205714,4,reggae
Do To Me,H.E.R.,0.477,0.854,0,-5.884,1,0.138,0.0603,0,0.168,0.494,144.841,audio_features,,0CmQgwV3Bmzh9nZb9TNVEI,spotify:track:0CmQgwV3Bmzh9nZb9TNVEI,https://api.spotify.com/v1/tracks/0CmQgwV3Bmzh9nZb9TNVEI,https://api.spotify.com/v1/audio-analysis/0CmQgwV3Bmzh9nZb9TNVEI,225103,4,reggae
Blessed (feat. Damian Marley),WizKid,0.612,0.651,1,-6.974,0,0.281,0.0864,0,0.368,0.902,90.272,audio_features,,3QO1m6i0nsrp8aOnapvbkx,spotify:track:3QO1m6i0nsrp8aOnapvbkx,https://api.spotify.com/v1/tracks/3QO1m6i0nsrp8aOnapvbkx,https://api.spotify.com/v1/audio-analysis/3QO1m6i0nsrp8aOnapvbkx,262973,4,reggae
Switch It Up (feat. Koffee),Protoje,0.781,0.831,10,-6.061,0,0.111,0.0596,0,0.187,0.661,139.98,audio_features,,5RPuPEZ0HiXPTnzwqfJMa8,spotify:track:5RPuPEZ0HiXPTnzwqfJMa8,https://api.spotify.com/v1/tracks/5RPuPEZ0HiXPTnzwqfJMa8,https://api.spotify.com/v1/audio-analysis/5RPuPEZ0HiXPTnzwqfJMa8,234920,4,reggae
Never B4 (feat. Mr. Williamz) - Gentleman's Dub Club Remix,Reggae Roast,0.628,0.7,7,-9.803,1,0.266,0.0105,0,0.0619,0.625,81.935,audio_features,,2RVDc70wlyLx8iGO5vBgdR,spotify:track:2RVDc70wlyLx8iGO5vBgdR,https://api.spotify.com/v1/tracks/2RVDc70wlyLx8iGO5vBgdR,https://api.spotify.com/v1/audio-analysis/2RVDc70wlyLx8iGO5vBgdR,259519,4,reggae
Like Royalty (feat. Popcaan),Protoje,0.699,0.742,4,-7.288,0,0.169,0.033,0,0.0508,0.54,79.981,audio_features,,4ezz5XTWn8PPTuDagSM8pH,spotify:track:4ezz5XTWn8PPTuDagSM8pH,https://api.spotify.com/v1/tracks/4ezz5XTWn8PPTuDagSM8pH,https://api.spotify.com/v1/audio-analysis/4ezz5XTWn8PPTuDagSM8pH,245987,4,reggae
Make Me Feel (feat. Rick Ross & Ari Lennox),Skip Marley,0.607,0.812,1,-4.314,0,0.274,0.0834,1.43e-05,0.169,0.676,95.021,audio_features,,683pmH1N542FzPKKvs0Aqs,spotify:track:683pmH1N542FzPKKvs0Aqs,https://api.spotify.com/v1/tracks/683pmH1N542FzPKKvs0Aqs,https://api.spotify.com/v1/audio-analysis/683pmH1N542FzPKKvs0Aqs,192285,4,reggae
Good Over Evil,Jaz Elise,0.767,0.628,0,-7.309,1,0.0767,0.0399,1.06e-05,0.103,0.608,128.589,audio_features,,3DkzTVZLHifYPaIlBw0x0f,spotify:track:3DkzTVZLHifYPaIlBw0x0f,https://api.spotify.com/v1/tracks/3DkzTVZLHifYPaIlBw0x0f,https://api.spotify.com/v1/audio-analysis/3DkzTVZLHifYPaIlBw0x0f,264960,4,reggae
Nice Up The Dance,Kabaka Pyramid,0.693,0.756,0,-2.918,0,0.27,0.0798,0,0.121,0.745,81.986,audio_features,,2KR1FKbtBscgImHlKdoVyj,spotify:track:2KR1FKbtBscgImHlKdoVyj,https://api.spotify.com/v1/tracks/2KR1FKbtBscgImHlKdoVyj,https://api.spotify.com/v1/audio-analysis/2KR1FKbtBscgImHlKdoVyj,212796,4,reggae
Make Me Feel,Skip Marley,0.42,0.818,1,-4.447,0,0.336,0.0343,0.000182,0.186,0.64,95.048,audio_features,,7AMZspzuS0GTepZu4EBc9f,spotify:track:7AMZspzuS0GTepZu4EBc9f,https://api.spotify.com/v1/tracks/7AMZspzuS0GTepZu4EBc9f,https://api.spotify.com/v1/audio-analysis/7AMZspzuS0GTepZu4EBc9f,190607,4,reggae
Mr. Global (with Kabaka Pyramid),Mellow Mood,0.709,0.808,11,-3.55,0,0.333,0.0451,0,0.0797,0.715,80.125,audio_features,,45wzZ9CfGX8dDw1qbJTvEp,spotify:track:45wzZ9CfGX8dDw1qbJTvEp,https://api.spotify.com/v1/tracks/45wzZ9CfGX8dDw1qbJTvEp,https://api.spotify.com/v1/audio-analysis/45wzZ9CfGX8dDw1qbJTvEp,208147,4,reggae
Woii,Alicai Harley,0.701,0.749,1,-4.88,1,0.101,0.0011,4.35e-06,0.109,0.669,79.024,audio_features,,10J8eHB9Yajz8NODmjpjvt,spotify:track:10J8eHB9Yajz8NODmjpjvt,https://api.spotify.com/v1/tracks/10J8eHB9Yajz8NODmjpjvt,https://api.spotify.com/v1/audio-analysis/10J8eHB9Yajz8NODmjpjvt,208860,4,reggae
Same So,Protoje,0.79,0.567,7,-8.773,0,0.0459,0.484,0,0.103,0.805,90.991,audio_features,,54Dt888vzNrG90F51f1kSW,spotify:track:54Dt888vzNrG90F51f1kSW,https://api.spotify.com/v1/tracks/54Dt888vzNrG90F51f1kSW,https://api.spotify.com/v1/audio-analysis/54Dt888vzNrG90F51f1kSW,208720,4,reggae
God is Love,Beres Hammond,0.599,0.52,8,-3.927,1,0.069,0.466,0,0.0879,0.355,70.164,audio_features,,7pm5ZgUZlDA5P51j9zIz6l,spotify:track:7pm5ZgUZlDA5P51j9zIz6l,https://api.spotify.com/v1/tracks/7pm5ZgUZlDA5P51j9zIz6l,https://api.spotify.com/v1/audio-analysis/7pm5ZgUZlDA5P51j9zIz6l,260185,4,reggae
40 Days & 40 Nights (Pt. 2),Stephen Marley,0.651,0.79,9,-4.903,0,0.207,0.218,0,0.0471,0.644,74.952,audio_features,,1vhfL29bRXSpZcA0rBkiES,spotify:track:1vhfL29bRXSpZcA0rBkiES,https://api.spotify.com/v1/tracks/1vhfL29bRXSpZcA0rBkiES,https://api.spotify.com/v1/audio-analysis/1vhfL29bRXSpZcA0rBkiES,176000,4,reggae
